Name,title,gender,IA
L.F. Costa,Speckle noise MAP filtering based on local adaptive neighborhood statistics,M,S
G.T. Zaniboni,Image data fusion using projection over the set of solutions of an underdetermined least squares problem,M,S
N.D.A. Mascarenhas,Image data fusion using projection over the set of solutions of an underdetermined least squares problem,M,S
P. Maragos,Two frontiers in morphological image analysis: differential evolution models and hybrid morphological/linear neural networks,M,S
L.F.C. Pessoa,Two frontiers in morphological image analysis: differential evolution models and hybrid morphological/linear neural networks,M,S
F. Meyer,Levelings and morphological segmentation,M,S
R. Bajcsy,Three-dimensional reconstruction from a set of video cameras of environments for virtual collaboration,F,S
G. Kamberova,Three-dimensional reconstruction from a set of video cameras of environments for virtual collaboration,F,S
R. Enciso,Three-dimensional reconstruction from a set of video cameras of environments for virtual collaboration,M,S
H. Fuchs,Three-dimensional reconstruction from a set of video cameras of environments for virtual collaboration,M,S
G. Welch,Three-dimensional reconstruction from a set of video cameras of environments for virtual collaboration,M,S
R. Sara,Three-dimensional reconstruction from a set of video cameras of environments for virtual collaboration,M,S
R. Marques da Silva,Reconstructing a 3D model from range images using radial flow model,M,S
L.F. Granato,A technique for improvement of linear attenuation coefficient maps obtained by means of X-ray tomography in multiple energies,M,S
F. Cassaro,A technique for improvement of linear attenuation coefficient maps obtained by means of X-ray tomography in multiple energies,M,S
C. Ortiz,A unified geometric model for 3D confocal image analysis in cytology,M,S
R. Malladi,A unified geometric model for 3D confocal image analysis in cytology,M,S
P. Cezar Pinto Carvalho,Error measures in greedy insertion simplification methods,M,S
L.C.G. Coelho,An algorithm for intersecting and trimming parametric meshes,M,S
L.H. De Figueiredo,An algorithm for intersecting and trimming parametric meshes,M,S
A.E. Fabris,Stroking discrete polynomial Bezier curves via point containment paradigm,M,S
A.R. Forrest,Stroking discrete polynomial Bezier curves via point containment paradigm,M,S
L.A. Lima,Virtual seismic interpretation,M,S
R. Bastos,Virtual seismic interpretation,M,S
M.C. Ferreira de Oliveira,Towards perception driven visualization,F,S
R. Minghim,Towards perception driven visualization,F,S
S.M. Tutida,Towards perception driven visualization,F,S
V.C. Lucas Salvador,Towards perception driven visualization,F,S
E.G. da Fonseca,A holographic visualization system: a sequel,M,S
P.L. de Gues,A holographic visualization system: a sequel,M,S
C.F.X. de Mendonca N,A holographic visualization system: a sequel,M,S
K. Basso,Visualization of geological prospecting data,F,S
C.M. Dal Sasso Freitas,Visualization of geological prospecting data,F,S
V.C.L. Salvador,Sonification to support visualization tasks,F,S
R. Minghim,Sonification to support visualization tasks,F,S
M.L. Pacheco,Sonification to support visualization tasks,M,S
T.G. de Senna Carneiro,Load balancing for distributed virtual reality systems,M,S
J.N. Cotrim Arabe,Load balancing for distributed virtual reality systems,M,S
G. Franssens,Image compression based on a multipoint Taylor series representation,M,S
N.V. Boulgouris,Directional interpolation pyramids for still image compression,M,S
B. Costa,A system's architecture for warping and morphing of graphical objects,M,S
J.D.R. Wey,Interface: a real time facial animation system,M,S
I. Diamantis,Real time video distribution using publication through a database,M,S
G.S. Lee,A general specification for scene animation,M,S
M.W. Kurzynski,Rule-based classification procedures related to the unprecisely formulated expert rules,M,S
C. Le Gal,Evolving visual features and detectors,F,S
E.O. De Jesus,ECIR-an electronic circuit diagram image recognizer,M,S
R. De Alencar Lotufo,ECIR-an electronic circuit diagram image recognizer,M,S
R. Chaine,A graph-anisotropic approach to 3-D data segmentation,F,S
R. Santos,Biased clustering methods for image classification,M,S
T. Ohashi,Biased clustering methods for image classification,M,S
T. Yoshida,Biased clustering methods for image classification,M,S
T. Ejima,Biased clustering methods for image classification,M,S
L.S. de Coelho,Computer vision-based navigation for autonomous blimps,M,S
M.F.M. Campos,Computer vision-based navigation for autonomous blimps,M,S
V. Kumar,Computer vision-based navigation for autonomous blimps,M,S
A.P.D. Poz,Automatic absolute orientation of scanned aerial photographs,M,S
F.N.S. Medeiros,Adaptive speckle MAP filtering for SAR images using statistical clustering,M,S
N.D.A. Mascarenhas,Adaptive speckle MAP filtering for SAR images using statistical clustering,M,S
M.L. De Bustamante Simas,"Human frequency response functions of harmonic 2, 4, 8 and 16 cycle angular frequency filters",F,S
N.A. Dos Santos,"Human frequency response functions of harmonic 2, 4, 8 and 16 cycle angular frequency filters",M,S
J.C. Gee,Density estimation for MR image elastic matching,M,S
M.F.M. Campos,Density estimation for MR image elastic matching,M,S
D.C. Fernandez,Comparison of different source localization methods,M,S
R. De Peralta Menendez,Comparison of different source localization methods,M,S
S.L.G. Andino,Comparison of different source localization methods,F,S
E.O. Farras,Comparison of different source localization methods,M,S
E.O. Farras,An approach to physiologically meaningful distributed inverse solutions to the neuro-electromagnetic inverse problem,M,S
R.G. De Peralta Menendez,An approach to physiologically meaningful distributed inverse solutions to the neuro-electromagnetic inverse problem,M,S
S.L. Gonzalez Andino,An approach to physiologically meaningful distributed inverse solutions to the neuro-electromagnetic inverse problem,F,S
D.C. Fernandez,An approach to physiologically meaningful distributed inverse solutions to the neuro-electromagnetic inverse problem,M,S
E.A. Vazquez,An approach to physiologically meaningful distributed inverse solutions to the neuro-electromagnetic inverse problem,M,S
E.R. Hancock,Estimating vanishing point from the angular correlation of spectral texture distribution,M,S
R. Zonenschein,Texturing composite deformable implicit objects,M,S
L.H. De Figueiredo,Texturing composite deformable implicit objects,M,S
B. Wyvill,Texturing composite deformable implicit objects,M,S
A.N. Marana,On the efficacy of texture analysis for crowd monitoring,M,S
L.F. Costa,On the efficacy of texture analysis for crowd monitoring,M,S
O.M. Bruno,Automatic feature selection for biological shape classification in /spl Sigma/ynergos,M,S
R.M. Cesar,Automatic feature selection for biological shape classification in /spl Sigma/ynergos,M,S
L.A. Consularo,Automatic feature selection for biological shape classification in /spl Sigma/ynergos,M,S
N. Sebe,Towards optimal ranking metrics,M,S
D.P. Huijsmans,Towards optimal ranking metrics,M,S
P.C.P. Carvalho,Image-based modeling using a two-step camera calibration method,M,S
F. Szenberg,Image-based modeling using a two-step camera calibration method,M,S
Chiou-Shann Fuh,Distortion correction for digital cameras,M,S
M.F.M. Campos,Evaluation of three-dimensional reconstructions from arbitrary images,M,S
I. Thomo,Optimized block based disparity estimation in stereo systems using a maximum-flow approach,M,S
L.M.G. Goncalves,A control architecture for multi-modal sensory integration,M,S
R.A. Grupen,A control architecture for multi-modal sensory integration,M,S
A.A.F. Oliveira,A control architecture for multi-modal sensory integration,M,S
L.M.G. Goncalves,Pipeline stereo matching in binary images,M,S
A.A.F. De Oliveira,Pipeline stereo matching in binary images,M,S
R. Van den Boomgaard,Morphological algorithms for color images based on a generic-programming approach,M,S
J.-M. Geusebroek,Morphological algorithms for color images based on a generic-programming approach,M,S
M.E. Morita,Morphological approach of handwritten word skew correction,M,S
F. Bortolozzi,Morphological approach of handwritten word skew correction,M,S
R. Sabourin,Morphological approach of handwritten word skew correction,M,S
W.N. Matta,Straight-line removal in boron carbide microscopic images,M,S
R. De Alengar Lotufo,Morphological image segmentation applied to video quality assessment,M,S
W.D.F. Da Silva,Morphological image segmentation applied to video quality assessment,M,S
A.C.F. Pessoa,Morphological image segmentation applied to video quality assessment,M,S
P. Ghosh,Bi-variate pattern spectrum,M,S
B. Chanda,Bi-variate pattern spectrum,M,S
A.E. Fabris,An efficient filling algorithm for non-simple closed curves using the point containment paradigm,M,S
A.R. Forrest,An efficient filling algorithm for non-simple closed curves using the point containment paradigm,M,S
A.E. Fabris,High quality rendering of two-dimensional continuous curves,M,S
A.R. Forrest,High quality rendering of two-dimensional continuous curves,M,S
L.C. Guedes,Real-time rendering of photo-textured terrain height fields,M,S
P.C.P. Carvalho,Real-time rendering of photo-textured terrain height fields,M,S
A.B. Raposo,Working with remote VRML scenes through low-bandwidth connections,M,S
L.P. Magalhaes,Working with remote VRML scenes through low-bandwidth connections,M,S
I.L.M. Ricarte,Working with remote VRML scenes through low-bandwidth connections,M,S
F.S. Tamiosso,Building interactive animations using VRML and Java,M,S
A.B. Raposo,Building interactive animations using VRML and Java,M,S
L.P. Magalhaes,Building interactive animations using VRML and Java,M,S
I.L.M. Ricarte,Building interactive animations using VRML and Java,M,S
F.W. Da Silva,An architecture for motion capture based animation,M,S
P.F. De Santa Clara Ramos,Analyzing a deformable model using differential geometry,M,S
S.I.R. Costa,Analyzing a deformable model using differential geometry,F,S
G.A. Pinto,Representation of conics in the oriented projective plane,M,S
P.J. De Rezende,Representation of conics in the oriented projective plane,M,S
M.V.A. Andrade,Exact representation and operations on spherical maps,M,S
L.C.C. Guedes,Real-time terrain surface extraction at variable resolution,M,S
J.M.R. Neves,Visualizing scalar fields represented by adaptive square triangulations,M,S
R.M. Persiano,Visualizing scalar fields represented by adaptive square triangulations,M,S
F. Szenberg,An algorithm for the visualization of a terrain with objects,M,S
P.C.P. Carvalho,An algorithm for the visualization of a terrain with objects,M,S
G.C. Ribeiro,Tridimensional image reconstruction method based on the modified algebraic reconstruction technique and B-spline interpolation,M,S
R.C.H. Chiou,Wavelet and entropy analysis combination to evaluate diffusion and correlation behaviours,M,S
M.A.G.V. Ferreira,Wavelet and entropy analysis combination to evaluate diffusion and correlation behaviours,F,S
C.T. Silva,Wavelet and entropy analysis combination to evaluate diffusion and correlation behaviours,M,S
A.E. Kaufman,Wavelet and entropy analysis combination to evaluate diffusion and correlation behaviours,M,S
I. Bloch,Data fusion in 2D and 3D image processing: an overview,F,S
H. Maitre,Data fusion in 2D and 3D image processing: an overview,M,S
M.M. Anguh,Multiscale segmentation and enhancement in mammograms,M,S
A.C. Silva,Multiscale segmentation and enhancement in mammograms,M,S
M.F.M. Campos,An iterative algorithm for segmenting lanes in gel electrophoresis images,M,S
A.M. Siqueira,An iterative algorithm for segmenting lanes in gel electrophoresis images,M,S
O.S.F. De Carvalho,An iterative algorithm for segmenting lanes in gel electrophoresis images,M,S
R.M. Cesar,Semi-automated dendrogram generation for neural shape analysis,M,S
L.deS. Coelho,Similarity-based versus template matching-based methodologies for image alignment of polyhedral-like objects under noisy conditions,M,S
M.F.M. Campos,Similarity-based versus template matching-based methodologies for image alignment of polyhedral-like objects under noisy conditions,M,S
R. Hirata,Fast algorithms to compute the elementary operators of mathematical morphology,M,S
G.J.F. Banon,Morphological approach for template matching,M,S
S.D. Faria,Morphological approach for template matching,M,S
M.H. Tatibana,Novel automatic PCB inspection technique based on connectivity,M,S
R. de A. Lotufo,Novel automatic PCB inspection technique based on connectivity,M,S
M.G. Almeida,Complementary filter banks for image compression,M,S
L.F. Chaparro,Complementary filter banks for image compression,M,S
M.V.R. Sobreiro,Color image quantization by pairwise clustering,F,S
A.C. Frery,A user-friendly system for synthetic aperture radar image classification based on grayscale distributional properties and context,M,S
C.daC.F. Yanasse,A user-friendly system for synthetic aperture radar image classification based on grayscale distributional properties and context,M,S
P.R. Vieira,A user-friendly system for synthetic aperture radar image classification based on grayscale distributional properties and context,M,S
S.J.S. Santanna,A user-friendly system for synthetic aperture radar image classification based on grayscale distributional properties and context,M,S
C.D. Renno,A user-friendly system for synthetic aperture radar image classification based on grayscale distributional properties and context,M,S
L.M.G. Fonseca,Automatic registration of satellite images,F,S
M.H.M. Costa,Automatic registration of satellite images,F,S
Mendonça C. F. X. de N.,Um sistema para visualização holográfica,M,S
P. L. de Geus,Um sistema para visualização holográfica,M,S
V. Busechian,The problem of image quality assessment in computed tomography and in magnetic resonance imaging,M,S
T. Tomitani,Agilização na reconstrução de imagens utilizando método direto de Fourier e Array Processor,M,S
R. Kitney,Automatic coronary artery w all contour detection,M,S
C. C. Robilotta,Avaliação da tomografia miocárdica por emissão de fóton único,M,S
R. Abe,Avaliação da tomografia miocárdica por emissão de fóton único,M,S
H. Niemann,A system environment for knowledge based image analysis,M,S
P. Cralevitch,Tratamento digital de imagens II: uma aplicação Metalografica,M,S
R. A. Nunes,Tratamento digital de imagens II: uma aplicação Metalografica,M,S
F. A. B. Araújo,Desenvolvimento de um software para síntese de imagens de facetas curvilíneas em um sistema SITIM,M,S
